,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
44,2022-08-03 12:40:00,ITC,NSE,,,,,306.2,306.35,306,306.05,104098,,44
45,2022-08-03 12:45:00,ITC,NSE,,,,,306.1,306.4,306,306.3,85771,,45
46,2022-08-03 12:50:00,ITC,NSE,,,,,306.3,306.75,306.2,306.7,136687,,46
47,2022-08-03 12:55:00,ITC,NSE,,,,,306.6,307.1,306.5,307,233562,,47
48,2022-08-03 13:00:00,ITC,NSE,,,,,307,307.4,306.85,307.35,1998293,,48
49,2022-08-03 13:05:00,ITC,NSE,,,,,307,307.05,306.55,306.55,94072,,49
50,2022-08-03 13:10:00,ITC,NSE,,,,,306.6,306.8,306.4,306.45,167542,,50
51,2022-08-03 13:15:00,ITC,NSE,,,,,306.45,307.1,306.45,306.55,210962,,51
52,2022-08-03 13:20:00,ITC,NSE,,,,,306.55,306.8,306.3,306.4,193297,,52
53,2022-08-03 13:25:00,ITC,NSE,,,,,306.4,307.1,306.4,306.75,206640,,53
54,2022-08-03 13:30:00,ITC,NSE,,,,,306.75,307.05,306.75,306.8,148902,,54
55,2022-08-03 13:35:00,ITC,NSE,,,,,306.85,307.1,306.8,307,122471,,55
56,2022-08-03 13:40:00,ITC,NSE,,,,,307,307.35,307,307.3,168573,,56
57,2022-08-03 13:45:00,ITC,NSE,,,,,307.3,307.3,306.9,307.05,190236,,57
58,2022-08-03 13:50:00,ITC,NSE,,,,,307.05,307.5,307,307.1,182117,,58
59,2022-08-03 13:55:00,ITC,NSE,,,,,307.15,307.2,306.9,307.15,126354,,59
60,2022-08-03 14:00:00,ITC,NSE,,,,,307.4,308.05,307.35,308.05,2221619,,60
61,2022-08-03 14:05:00,ITC,NSE,,,,,307.4,307.9,307.4,307.85,152407,,61
62,2022-08-03 14:10:00,ITC,NSE,,,,,307.85,308.1,307.6,308.05,302669,,62
63,2022-08-03 14:15:00,ITC,NSE,,,,,308,308.05,307.9,307.95,158636,,63
64,2022-08-03 14:20:00,ITC,NSE,,,,,307.95,308,307.65,307.85,145061,,64
65,2022-08-03 14:25:00,ITC,NSE,,,,,307.85,308.15,307.8,307.95,171368,,65
66,2022-08-03 14:30:00,ITC,NSE,,,,,308,308.1,307.85,308,219050,,66
67,2022-08-03 14:35:00,ITC,NSE,,,,,308.05,308.1,307.75,308,189212,,67
68,2022-08-03 14:40:00,ITC,NSE,,,,,308,308.1,307.95,308.05,115886,,68
69,2022-08-03 14:45:00,ITC,NSE,,,,,308.05,308.15,308,308.15,100502,,69
70,2022-08-03 14:50:00,ITC,NSE,,,,,308.1,308.15,307.9,307.9,133546,,70
71,2022-08-03 14:55:00,ITC,NSE,,,,,307.9,308.05,307.8,308,287346,,71
